native_exponential,native_uniform_bias,eta_45_normal,eta_exponential5,eta_70_normal,native_uniform,native_exponential_bias,eta_uniform5,native_normal
Guatemala,Haiti,51,29,70,Peru,Outlying-US(Guam-USVI-etc),87,Haiti
Holand-Netherlands,Puerto-Rico,59,38,71,Nicaragua,Poland,29,Puerto-Rico
Cambodia,Guatemala,54,28,69,Columbia,Hungary,84,United-States
Mexico,France,73,33,77,Peru,Thailand,13,USA
Holand-Netherlands,Japan,21,1,77,Mexico,Hungary,66,USA
Cambodia,Hong,6,5,67,Puerto-Rico,Dominican-Republic,92,USA
Honduras,Laos,26,1,75,Canada,Hungary,36,USA
South,Ireland,35,29,69,Dominican-Republic,Philippines,15,Nicaragua
Outlying-US(Guam-USVI-etc),Poland,33,3,79,Canada,Cambodia,35,USA
Guatemala,Guatemala,17,28,64,Jamaica,Cuba,30,USA
Taiwan,Cambodia,58,22,71,Trinadad&Tobago,Nicaragua,55,USA
Canada,Scotland,38,4,71,Cambodia,Nicaragua,9,Haiti
Holand-Netherlands,South,52,44,60,Taiwan,Thailand,83,USA
Taiwan,Scotland,55,43,77,Iran,Nicaragua,10,USA
Vietnam,Philippines,60,10,71,Yugoslavia,Canada,97,USA
Columbia,India,49,4,72,South,Thailand,1,Trinadad&Tobago
Jamaica,Japan,15,15,57,Ecuador,Thailand,47,USA
Taiwan,Hungary,55,13,73,Cuba,Columbia,91,China
Taiwan,Trinadad&Tobago,58,19,72,Germany,Cambodia,14,Greece
Holand-Netherlands,Japan,40,68,70,India,Ecuador,40,USA
Ecuador,Scotland,36,100,82,Italy,Poland,66,Honduras
Holand-Netherlands,Outlying-US(Guam-USVI-etc),89,16,73,Ireland,Greece,18,Peru
Dominican-Republic,South,43,68,72,Hong,Trinadad&Tobago,45,USA
Hungary,Portugal,35,1,72,Iran,Jamaica,81,USA
Philippines,Cuba,70,28,74,England,Canada,19,USA
Outlying-US(Guam-USVI-etc),Thailand,54,3,71,Vietnam,Scotland,59,United-States
Honduras,Canada,58,56,61,Greece,Scotland,49,USA
Honduras,Cuba,70,15,67,Vietnam,Ecuador,45,El-Salvador
Scotland,Philippines,56,18,70,El-Salvador,Cambodia,71,Holand-Netherlands
China,England,51,9,71,Haiti,India,23,USA
Yugoslavia,Holand-Netherlands,86,23,65,Trinadad&Tobago,Yugoslavia,98,Poland
Italy,Ireland,38,98,78,Puerto-Rico,Canada,80,India
Outlying-US(Guam-USVI-etc),Thailand,47,1,73,Vietnam,Scotland,23,United-States
Yugoslavia,Laos,58,1,71,Vietnam,Ecuador,11,USA
Cambodia,Canada,23,69,70,Trinadad&Tobago,Columbia,32,USA
Mexico,France,43,1,70,China,Greece,34,Trinadad&Tobago
South,Mexico,66,1,72,Dominican-Republic,Iran,54,Canada
Jamaica,Poland,82,7,72,Laos,India,1,China
Ireland,Dominican-Republic,82,50,66,China,Cambodia,65,USA
Ireland,Holand-Netherlands,72,12,63,Nicaragua,Peru,100,USA
Portugal,Dominican-Republic,24,4,57,Hong,Iran,22,Laos
England,Taiwan,16,88,75,Hungary,Nicaragua,81,USA
England,Laos,37,1,75,Japan,Hungary,38,Outlying-US(Guam-USVI-etc)
Ecuador,Iran,53,1,65,Portugal,Peru,80,Ireland
England,El-Salvador,40,11,72,Philippines,Thailand,100,USA
Yugoslavia,Portugal,43,12,57,El-Salvador,Dominican-Republic,12,USA
Holand-Netherlands,Portugal,67,23,77,United-States,Cambodia,54,Puerto-Rico
Ireland,Portugal,27,46,57,France,Hungary,82,USA
Mexico,Laos,33,38,65,China,India,32,USA
Taiwan,Portugal,8,17,69,Poland,South,84,USA
Greece,Germany,15,18,70,El-Salvador,Canada,8,USA
Scotland,Laos,41,1,73,Jamaica,Poland,91,USA
Scotland,Italy,57,11,70,Japan,Philippines,78,Mexico
Canada,Italy,7,17,55,Italy,Cambodia,61,USA
Outlying-US(Guam-USVI-etc),Honduras,58,28,74,Cuba,Poland,60,Laos
India,Jamaica,16,9,69,Portugal,Nicaragua,7,Italy
Greece,Ireland,49,14,63,Mexico,Scotland,55,South
Guatemala,Outlying-US(Guam-USVI-etc),12,90,72,Thailand,Dominican-Republic,58,USA
South,Vietnam,44,1,62,Dominican-Republic,Hungary,32,Vietnam
Vietnam,India,69,11,61,Canada,Canada,22,Guatemala
France,Jamaica,42,49,67,England,Ecuador,9,Yugoslavia
Germany,Canada,38,11,57,Mexico,Nicaragua,56,USA
Yugoslavia,Portugal,22,22,65,El-Salvador,Dominican-Republic,11,USA
South,El-Salvador,68,61,76,Mexico,India,67,USA
Dominican-Republic,China,8,54,77,Peru,Germany,6,USA
Taiwan,Hungary,81,24,76,Holand-Netherlands,Haiti,6,Holand-Netherlands
China,Outlying-US(Guam-USVI-etc),70,7,66,Taiwan,Cuba,78,Honduras
Portugal,Poland,49,1,74,Italy,Columbia,84,Greece
Yugoslavia,South,33,31,64,Vietnam,Nicaragua,40,USA
Laos,Italy,71,23,76,El-Salvador,Cuba,46,USA
Mexico,Ecuador,55,1,62,England,India,53,Ireland
Greece,Ecuador,39,1,77,Nicaragua,Canada,100,USA
Portugal,Holand-Netherlands,42,11,72,Poland,Hungary,77,South
Philippines,Hong,23,29,77,Philippines,Thailand,11,USA
South,Thailand,32,9,76,Trinadad&Tobago,Canada,27,USA
Taiwan,South,47,4,56,United-States,Poland,64,Holand-Netherlands
Greece,Philippines,42,8,63,Iran,Haiti,66,China
Ireland,Nicaragua,41,1,61,Laos,Hungary,49,India
Columbia,Thailand,55,44,74,Italy,Trinadad&Tobago,63,USA
South,Cuba,49,1,78,Canada,Hungary,67,USA
Yugoslavia,Columbia,29,1,73,Philippines,Greece,36,Guatemala
Poland,El-Salvador,61,27,77,Philippines,Hungary,51,USA
Taiwan,Yugoslavia,49,1,62,Canada,Philippines,58,USA
Dominican-Republic,Peru,27,16,69,United-States,Ecuador,43,USA
Yugoslavia,India,41,34,69,England,Dominican-Republic,20,Mexico
Honduras,Laos,93,23,68,Japan,India,32,USA
South,Hungary,40,26,67,Thailand,Columbia,81,USA
Ireland,Jamaica,44,1,81,India,Thailand,8,USA
Columbia,Thailand,50,28,76,Italy,Trinadad&Tobago,80,USA
Yugoslavia,South,52,3,78,Ecuador,Peru,72,USA
Scotland,Cambodia,12,7,68,Greece,Holand-Netherlands,84,Nicaragua
India,Holand-Netherlands,93,1,60,Holand-Netherlands,Poland,36,Japan
Jamaica,France,59,76,79,Yugoslavia,India,4,USA
Scotland,Thailand,61,17,69,Italy,Portugal,34,Jamaica
South,Ireland,77,89,76,Holand-Netherlands,Iran,7,USA
Columbia,India,52,1,65,South,Thailand,13,Trinadad&Tobago
Jamaica,Philippines,30,9,65,Holand-Netherlands,Philippines,85,Thailand
Yugoslavia,Scotland,54,22,76,Ecuador,Ecuador,73,USA
South,Hungary,55,40,69,Scotland,Philippines,27,USA
Germany,Philippines,39,6,58,Haiti,Yugoslavia,100,USA
Ireland,Scotland,52,28,73,Nicaragua,Philippines,75,USA
Laos,Jamaica,12,53,74,Peru,Greece,98,Cambodia
England,South,39,26,62,United-States,Greece,51,Yugoslavia
Ireland,Cambodia,20,1,57,Ireland,South,83,USA
Canada,Laos,32,1,70,India,Cambodia,38,Mexico
Thailand,England,80,1,58,Philippines,Ecuador,53,USA
Taiwan,Taiwan,16,79,63,France,Germany,84,Thailand
South,Philippines,75,14,74,Laos,Poland,1,Laos
Laos,Italy,60,22,74,Dominican-Republic,India,18,Iran
Yugoslavia,Outlying-US(Guam-USVI-etc),30,1,58,Vietnam,Columbia,76,Haiti
Taiwan,Japan,47,1,87,Trinadad&Tobago,Thailand,43,Philippines
Taiwan,Holand-Netherlands,64,21,59,France,United-States,64,USA
Holand-Netherlands,South,40,36,81,Hungary,Italy,52,Iran
South,Vietnam,43,31,61,Dominican-Republic,Hungary,32,Vietnam
Jamaica,Japan,8,1,79,Vietnam,Dominican-Republic,9,Taiwan
Ireland,Dominican-Republic,74,41,78,China,Cambodia,82,USA
Jamaica,Holand-Netherlands,50,1,64,China,Iran,6,USA
England,Columbia,15,6,82,Yugoslavia,United-States,49,Philippines
Yugoslavia,England,20,1,73,Canada,Columbia,27,USA
Scotland,Puerto-Rico,46,48,69,Yugoslavia,Nicaragua,93,Trinadad&Tobago
Vietnam,Cambodia,47,17,76,Outlying-US(Guam-USVI-etc),Philippines,71,USA
Mexico,El-Salvador,10,47,73,Ecuador,Ecuador,84,Philippines
Columbia,Laos,50,58,67,Haiti,Outlying-US(Guam-USVI-etc),36,Philippines
Portugal,Trinadad&Tobago,72,9,67,Yugoslavia,Italy,14,USA
South,Dominican-Republic,52,28,69,Honduras,Cuba,1,Taiwan
Cambodia,Canada,29,82,73,Trinadad&Tobago,Columbia,42,USA
Vietnam,Philippines,24,1,67,United-States,Puerto-Rico,50,USA
Canada,Vietnam,42,1,64,Jamaica,Holand-Netherlands,16,USA
Scotland,El-Salvador,30,5,63,Hong,Honduras,54,USA
Columbia,Laos,70,35,73,Haiti,Outlying-US(Guam-USVI-etc),33,Philippines
Scotland,France,45,1,63,Thailand,Germany,52,Ireland
Honduras,Guatemala,25,39,73,Italy,Peru,46,Yugoslavia
Greece,Laos,80,2,71,Laos,Jamaica,21,USA
India,Hungary,42,12,67,United-States,Holand-Netherlands,71,Cuba
Greece,Cambodia,45,11,68,Honduras,Honduras,2,USA
South,Yugoslavia,60,64,67,Vietnam,Thailand,51,USA
Ireland,Holand-Netherlands,57,22,61,Scotland,Holand-Netherlands,100,USA
Holand-Netherlands,Holand-Netherlands,36,2,69,Portugal,India,83,USA
Yugoslavia,Holand-Netherlands,41,27,67,Haiti,Jamaica,24,Vietnam
South,Puerto-Rico,31,4,63,Ireland,Ireland,19,Ireland
England,India,61,3,71,Trinadad&Tobago,Nicaragua,90,USA
Hungary,Guatemala,2,64,68,Vietnam,Canada,32,USA
England,Vietnam,67,39,68,Italy,Thailand,92,England
Holand-Netherlands,Laos,46,7,71,Dominican-Republic,Trinadad&Tobago,52,England
Taiwan,Ecuador,19,42,69,Thailand,Scotland,100,USA
Outlying-US(Guam-USVI-etc),Thailand,63,28,69,Jamaica,India,1,USA
Canada,Ireland,35,24,72,England,South,58,USA
Yugoslavia,Laos,51,35,69,Vietnam,Ecuador,45,USA
Taiwan,Hungary,47,14,74,Cuba,Columbia,58,China
Holand-Netherlands,Ireland,25,32,76,France,Cuba,61,USA
Peru,Honduras,47,25,73,Puerto-Rico,Canada,1,USA
Taiwan,Taiwan,24,1,79,Scotland,Poland,79,Canada
Honduras,Ecuador,18,13,65,Cuba,Cuba,1,USA
South,Puerto-Rico,39,20,70,Ireland,Ireland,41,Ireland
Cuba,Poland,69,31,68,Thailand,Hungary,60,Haiti
Greece,Vietnam,56,13,70,Hong,Honduras,46,USA
Puerto-Rico,Cuba,34,13,59,England,Scotland,8,USA
Laos,Cuba,46,68,68,England,Portugal,100,USA
Cuba,Poland,34,1,69,Greece,Canada,51,USA
Yugoslavia,Scotland,23,1,62,Thailand,Outlying-US(Guam-USVI-etc),96,Yugoslavia
Jamaica,Germany,49,22,56,Italy,Italy,45,USA
Thailand,Portugal,30,1,72,Canada,Holand-Netherlands,64,USA
Iran,Philippines,52,25,69,Honduras,Germany,41,USA
Holand-Netherlands,Taiwan,46,21,85,Italy,Peru,38,USA
Greece,Peru,41,30,68,Ireland,Yugoslavia,48,Thailand
Laos,Italy,58,19,77,Dominican-Republic,India,28,Iran
Ireland,Jamaica,71,1,72,India,Thailand,10,USA
Greece,Hong,31,60,81,Peru,Japan,61,USA
England,South,43,11,53,United-States,Greece,13,Yugoslavia
India,Laos,44,1,74,El-Salvador,Hungary,27,USA
Taiwan,Hungary,62,6,76,Holand-Netherlands,Haiti,15,Holand-Netherlands
Taiwan,England,46,1,82,Hong,Hungary,100,China
Honduras,China,36,9,70,Hong,Columbia,21,USA
Holand-Netherlands,Poland,83,30,75,Peru,Ecuador,85,USA
England,Laos,35,11,63,Mexico,Peru,53,Puerto-Rico
Holand-Netherlands,Japan,38,62,73,India,Ecuador,34,USA
Jamaica,South,17,26,69,Poland,India,25,USA
Ireland,Iran,47,1,75,Outlying-US(Guam-USVI-etc),Ecuador,100,USA
Holand-Netherlands,Hungary,80,5,67,Holand-Netherlands,Thailand,55,USA
China,Columbia,40,1,77,Thailand,Nicaragua,66,USA
England,Germany,24,51,63,Haiti,Cuba,33,USA
Honduras,Trinadad&Tobago,38,22,72,Canada,Trinadad&Tobago,35,England
Ireland,Hungary,60,18,68,France,Vietnam,8,USA
Mexico,China,33,33,71,Puerto-Rico,El-Salvador,64,USA
Canada,Holand-Netherlands,54,8,73,South,Hungary,37,USA
Holand-Netherlands,Hungary,41,33,65,Mexico,Greece,21,USA
England,India,34,1,60,Trinadad&Tobago,Nicaragua,70,USA
Greece,Guatemala,58,24,75,El-Salvador,India,40,Cambodia
Taiwan,Scotland,35,1,74,France,India,4,USA
Taiwan,United-States,66,9,85,Taiwan,Hungary,93,USA
England,Japan,1,1,65,Philippines,India,75,USA
Outlying-US(Guam-USVI-etc),Cambodia,20,23,74,Cuba,Cuba,49,India
Outlying-US(Guam-USVI-etc),United-States,41,23,69,Scotland,Guatemala,46,Scotland
Columbia,Outlying-US(Guam-USVI-etc),30,32,75,Hungary,Cuba,20,Taiwan
Greece,France,19,5,77,Jamaica,South,77,El-Salvador
England,Japan,1,42,71,Philippines,India,53,USA
Jamaica,Japan,65,18,66,Ecuador,Canada,89,USA
South,Hungary,49,49,71,Ecuador,Poland,64,USA
Jamaica,Outlying-US(Guam-USVI-etc),50,1,63,Thailand,Peru,67,Haiti
Holand-Netherlands,Hungary,60,16,67,Mexico,Greece,12,USA
South,Hungary,53,45,62,Scotland,Philippines,36,USA
Vietnam,Hong,32,14,72,Trinadad&Tobago,Peru,38,Ireland
Ireland,Dominican-Republic,30,27,64,Mexico,Greece,30,USA
Holand-Netherlands,Portugal,42,100,58,Puerto-Rico,India,34,USA
India,Honduras,67,31,66,Taiwan,United-States,1,USA
Greece,Outlying-US(Guam-USVI-etc),56,8,73,Greece,Thailand,89,Italy
Ireland,Hungary,41,6,66,Germany,India,32,USA
Holand-Netherlands,Philippines,62,21,73,France,India,4,Holand-Netherlands
Yugoslavia,Philippines,69,1,70,Japan,Ecuador,21,Cambodia
Greece,Puerto-Rico,31,4,63,Germany,Yugoslavia,100,USA
Jamaica,Guatemala,29,23,72,India,Thailand,33,Trinadad&Tobago
South,Cambodia,70,14,64,Portugal,Haiti,18,USA
Ireland,Outlying-US(Guam-USVI-etc),52,34,79,Laos,Iran,1,USA
Portugal,Hong,34,42,69,Cuba,India,1,USA
Scotland,El-Salvador,53,16,68,Peru,Nicaragua,86,USA
Vietnam,Philippines,43,19,70,United-States,Puerto-Rico,32,USA
Dominican-Republic,Nicaragua,27,1,60,Trinadad&Tobago,Hungary,57,Ecuador
Jamaica,Vietnam,73,20,67,Yugoslavia,Holand-Netherlands,84,Puerto-Rico
Canada,United-States,59,1,68,South,India,33,USA
Greece,Canada,14,8,69,Germany,Canada,81,USA
Portugal,Dominican-Republic,63,6,74,Portugal,Nicaragua,1,USA
Jamaica,Italy,38,1,75,Italy,Yugoslavia,31,USA
Cambodia,United-States,31,91,76,Italy,Jamaica,66,USA
South,Cuba,17,38,63,Columbia,South,24,USA
Canada,Guatemala,58,1,70,Portugal,Italy,8,USA
Portugal,Cambodia,47,24,65,Mexico,Greece,40,USA
Hong,China,46,41,83,Honduras,Thailand,100,Scotland
Canada,South,61,4,58,Peru,Trinadad&Tobago,47,USA
Greece,Vietnam,48,16,68,Hong,Honduras,46,USA
Greece,France,31,21,67,El-Salvador,Honduras,74,USA
Cambodia,Peru,50,10,83,Laos,Nicaragua,11,USA
Portugal,Philippines,78,24,66,Taiwan,Hungary,3,USA
Cambodia,Guatemala,19,13,64,Columbia,Hungary,86,United-States
England,Vietnam,33,29,70,Nicaragua,Scotland,80,USA
China,Cambodia,43,27,69,Canada,India,1,Puerto-Rico
Greece,Peru,37,37,64,Ireland,Yugoslavia,73,Thailand
China,Cuba,93,1,67,Dominican-Republic,Thailand,48,USA
