native_exponential,native_uniform_bias,eta_45_normal,eta_exponential5,eta_70_normal,native_uniform,native_exponential_bias,eta_uniform5,native_normal
*,*,*,*,*,*,*,*,*
Europe,*,*,*,*,South America,Nord America,*,America
America Centrale,*,*,*,*,Asia,Asia,*,America
North America,*,*,*,*,Asia,Asia,*,Southeast Asia
*,*,*,*,*,*,*,*,*
Europe,*,*,*,*,Africa,Europa,*,Europe
America Centrale,*,*,*,*,Asia,Nord America,*,East Asia
*,*,*,*,*,*,*,*,*
Europe,*,*,*,*,Europe,Europe,*,America
Sud-est asiatico,*,*,*,*,America,Southeast Asia,*,Europe
*,*,*,*,*,*,*,*,*
America Centrale,*,*,*,*,North America,Nord America,*,America
Europa,*,*,*,*,Europe,Asia,*,America
*,*,*,*,*,*,*,*,*
Europe,*,*,*,*,Asia,Europa,*,Europa
North America,*,*,*,*,Asia,Asia,*,Southeast Asia
*,*,*,*,*,*,*,*,*
America Centrale,*,*,*,*,South America,Stati Uniti,*,America
*,*,*,*,*,*,*,*,*
Asia,*,*,*,*,America del Sud,Europe,*,North-America
North America,*,*,*,*,South America,Asia,*,America
Europa,*,*,*,*,North-America,Europe,*,America
Asia,*,*,*,*,America,America Centrale,*,America
North America,*,*,*,*,North America,Europe,*,America
*,*,*,*,*,*,*,*,*
North America,*,*,*,*,North America,Southeast Asia,*,America
*,*,*,*,*,*,*,*,*
Asia,*,*,*,*,North America,North America,*,America
America del Nord,*,*,*,*,Sud-est asiatico,North America,*,America
Europa,*,*,*,*,Asia,Asia,*,America
*,*,*,*,*,*,*,*,*
Asia,*,*,*,*,Europa dell'Est,Nord America,*,America
America,*,*,*,*,Africa,Asia,*,America
North America,*,*,*,*,America del Sud,Asia,*,America
Asia,*,*,*,*,America,Sud America,*,East Asia
*,*,*,*,*,*,*,*,*
Europa,*,*,*,*,Asia,America del Sud,*,America
America,*,*,*,*,Europe,Europe,*,Central-America
*,*,*,*,*,*,*,*,*
North America,*,*,*,*,Asia,North America,*,America
Europe,*,*,*,*,Middle East,America,*,America
Asia,*,*,*,*,Europe,Nord America,*,America
North America,*,*,*,*,Asia,Europa,*,North-America
North America,*,*,*,*,Europa,Europa,*,America
North America,*,*,*,*,Asia,America del Sud,*,America Centrale
Europe,*,*,*,*,America Centrale,Southeast Asia,*,Europe
*,*,*,*,*,*,*,*,*
*,*,*,*,*,*,*,*,*
*,*,*,*,*,*,*,*,*
North America,*,*,*,*,Asia,Europa,*,North-America
Europa,*,*,*,*,Asia,America del Sud,*,America
Asia,*,*,*,*,North America,Sud America,*,America
North America,*,*,*,*,Asia Orientale,Europe,*,America
America,*,*,*,*,North America,Western Asia,*,North America
North America,*,*,*,*,Sud-est asiatico,Asia,*,East Asia
Europe,*,*,*,*,Asia Orientale,Southeast Asia,*,America
*,*,*,*,*,*,*,*,*
Europa,*,*,*,*,Asia,Western Asia,*,Asia
Europe,*,*,*,*,Europa,North America,*,America
Europe,*,*,*,*,Asia,Europe,*,US
*,*,*,*,*,*,*,*,*
Europe,*,*,*,*,Asia,Asia,*,America
Europa,*,*,*,*,America Centrale,America Centrale,*,America
*,*,*,*,*,*,*,*,*
Europe,*,*,*,*,Europe,Europe,*,America
North America,*,*,*,*,Asia Orientale,Asia,*,America
Asia,*,*,*,*,Europe,Stati Uniti,*,America
Europe,*,*,*,*,America Centrale,Nord America,*,America
Europe,*,*,*,*,North America,Europe,*,America
Europe,*,*,*,*,Asia,Southeast Asia,*,America
America del Nord,*,*,*,*,Europe,Southeast Asia,*,America
North America,*,*,*,*,America,Europe,*,Asia
Asia,*,*,*,*,Europa,North America,*,Europa
Europe,*,*,*,*,North-America,Europa,*,US
America Centrale,*,*,*,*,Asia,America Centrale,*,America
America,*,*,*,*,North America,Europe,*,Southeast Asia
Asia,*,*,*,*,North America,Nord America,*,America Centrale
Europe,*,*,*,*,Europe,America del Sud,*,Southern-Europe
Europe,*,*,*,*,North-America,North America,*,America
Europa,*,*,*,*,America Centrale,America Centrale,*,America
*,*,*,*,*,*,*,*,*
*,*,*,*,*,*,*,*,*
Asia,*,*,*,*,Western Europe,Caribbean,*,Europe
*,*,*,*,*,*,*,*,*
Europa,*,*,*,*,Europe,Sud America,*,Europe
*,*,*,*,*,*,*,*,*
Sud-est asiatico,*,*,*,*,America Centrale,America Centrale,*,America
North America,*,*,*,*,Europe,Asia,*,Europa
Europe,*,*,*,*,America Centrale,Nord America,*,America
*,*,*,*,*,*,*,*,*
Asia,*,*,*,*,Asia,Asia,*,America
America,*,*,*,*,North America,Nord America,*,America
Asia,*,*,*,*,North-America,Europe,*,Europe
Europe,*,*,*,*,Middle East,Caribbean,*,East Asia
*,*,*,*,*,*,*,*,*
America,*,*,*,*,Europe,North America,*,America
America,*,*,*,*,North America,Europe,*,America
*,*,*,*,*,*,*,*,*
Europe,*,*,*,*,Asia,Europe,*,America
Asia,*,*,*,*,North America,Southeast Asia,*,America
North America,*,*,*,*,North-America,America del Sud,*,America
Europa,*,*,*,*,Europe,America Centrale,*,America
North America,*,*,*,*,Asia,Asia,*,America
America,*,*,*,*,Asia,Sud America,*,America
Europe,*,*,*,*,Asia,Asia,*,America
America,*,*,*,*,Europe,North America,*,America
*,*,*,*,*,*,*,*,*
*,*,*,*,*,*,*,*,*
Asia,*,*,*,*,Western Europe,Europe,*,Asia
*,*,*,*,*,*,*,*,*
Europe,*,*,*,*,Europe,Europe,*,America
America,*,*,*,*,Western Europe,Western Asia,*,America
America,*,*,*,*,Africa,Asia,*,America
*,*,*,*,*,*,*,*,*
*,*,*,*,*,*,*,*,*
America,*,*,*,*,Regno Unito,Southeast Asia,*,America
Europe,*,*,*,*,America,Europa,*,America
Europe,*,*,*,*,America Centrale,Southeast Asia,*,America
Sud-est asiatico,*,*,*,*,South America,Europe,*,Asia
Europe,*,*,*,*,North-America,Europe,*,Southern-Europe
Europe,*,*,*,*,Europa,Stati Uniti,*,America
America del Nord,*,*,*,*,Asia,Southeast Asia,*,America
Asia,*,*,*,*,Asia,America del Sud,*,America
*,*,*,*,*,*,*,*,*
America,*,*,*,*,Sud-est asiatico,Europe,*,Asia
Sud-est asiatico,*,*,*,*,North America,Asia,*,Asia
Europa,*,*,*,*,Asia,Sud America,*,America
Asia,*,*,*,*,North America,Asia,*,Asia
*,*,*,*,*,*,*,*,*
Europa,*,*,*,*,Europa,Southern Europe,*,Asia
America,*,*,*,*,North America,Europe,*,Southeast Asia
North America,*,*,*,*,Asia,America Centrale,*,Asia
Europe,*,*,*,*,Asia Orientale,Southeast Asia,*,America
North America,*,*,*,*,Asia Orientale,Western Asia,*,America
*,*,*,*,*,*,*,*,*
Europa,*,*,*,*,North America,Sud America,*,America
Europe,*,*,*,*,Europa dell'Est,North America,*,America
*,*,*,*,*,*,*,*,*
*,*,*,*,*,*,*,*,*
America,*,*,*,*,America,Stati Uniti,*,Asia
*,*,*,*,*,*,*,*,*
America,*,*,*,*,America Centrale,America Centrale,*,Asia
Asia,*,*,*,*,North America,Sud America,*,America
Asia,*,*,*,*,North-America,America,*,America
America del Nord,*,*,*,*,North America,Europe,*,America
Europe,*,*,*,*,Asia,America,*,America
America,*,*,*,*,America,Stati Uniti,*,Asia
Europe,*,*,*,*,Asia,Europa,*,Europa
*,*,*,*,*,*,*,*,*
Europe,*,*,*,*,Sud-est asiatico,America,*,America
Asia,*,*,*,*,North-America,Europe,*,North America
Europe,*,*,*,*,America Centrale,America,*,America
America,*,*,*,*,Asia,Asia,*,America
Europe,*,*,*,*,Regno Unito,Europe,*,America
Europa,*,*,*,*,Europa,Asia,*,America
*,*,*,*,*,*,*,*,*
America,*,*,*,*,Europa,Europa,*,Europa
Europe,*,*,*,*,North America,North America,*,America
*,*,*,*,*,*,*,*,*
*,*,*,*,*,*,*,*,*
Europa,*,*,*,*,North America,North America,*,Europe
Asia,*,*,*,*,Asia,Europa,*,America
North America,*,*,*,*,North America,Asia,*,America
*,*,*,*,*,*,*,*,*
Europa,*,*,*,*,Asia,America del Sud,*,America
Asia,*,*,*,*,America,Sud America,*,East Asia
Europa,*,*,*,*,Europe,America Centrale,*,America
America del Sud,*,*,*,*,America,Nord America,*,America
*,*,*,*,*,*,*,*,*
North America,*,*,*,*,America,America Centrale,*,America
America,*,*,*,*,Europa,Europa,*,Europa
North America,*,*,*,*,Asia,Europe,*,America
Europe,*,*,*,*,Asia,America,*,America
America Centrale,*,*,*,*,Europe,Europa,*,America
*,*,*,*,*,*,*,*,*
North America,*,*,*,*,Europa,Nord America,*,America
*,*,*,*,*,*,*,*,*
North America,*,*,*,*,Europe,Southern Europe,*,America
Asia,*,*,*,*,North America,Europe,*,America
Middle East,*,*,*,*,America Centrale,Europa,*,America
Europa,*,*,*,*,Europe,South America,*,America
Europe,*,*,*,*,Europa,Europa,*,Asia
Sud-est asiatico,*,*,*,*,North America,Asia,*,Asia
Europe,*,*,*,*,Asia,Asia,*,America
*,*,*,*,*,*,*,*,*
Europe,*,*,*,*,North-America,Europe,*,Southern-Europe
Asia,*,*,*,*,America Centrale,Europe,*,America
Asia,*,*,*,*,Western Europe,Caribbean,*,Europe
Asia,*,*,*,*,Asia,Europe,*,East Asia
North America,*,*,*,*,Asia,Sud America,*,America
Europa,*,*,*,*,South America,America del Sud,*,America
Europe,*,*,*,*,North-America,South America,*,US
Europa,*,*,*,*,Asia,America del Sud,*,America
*,*,*,*,*,*,*,*,*
Europe,*,*,*,*,Oceania,America del Sud,*,America
Europa,*,*,*,*,Western Europe,Asia,*,America
Asia,*,*,*,*,Asia,North America,*,America
Europe,*,*,*,*,America,America Centrale,*,America
North America,*,*,*,*,North America,North America,*,Europe
Europe,*,*,*,*,Europe,Asia,*,America
North America,*,*,*,*,America,North America,*,America
America del Nord,*,*,*,*,Africa,Europe,*,America
Europa,*,*,*,*,North-America,Europe,*,America
Europe,*,*,*,*,North America,North America,*,America
Europe,*,*,*,*,America Centrale,Asia,*,Asia
Asia,*,*,*,*,Europe,Asia,*,America
Asia,*,*,*,*,Asia,Europe,*,America
Europe,*,*,*,*,Asia,Asia,*,America
*,*,*,*,*,*,*,*,*
North America,*,*,*,*,Regno Unito,North America,*,Europa
*,*,*,*,*,*,*,*,*
Europe,*,*,*,*,North America,Stati Uniti,*,America Centrale
Europe,*,*,*,*,Asia,Asia,*,America
*,*,*,*,*,*,*,*,*
America,*,*,*,*,America del Sud,Europe,*,America
North America,*,*,*,*,Asia,South America,*,America
Europa,*,*,*,*,North-America,Europe,*,America
America,*,*,*,*,Regno Unito,Southeast Asia,*,America
*,*,*,*,*,*,*,*,*
Europe,*,*,*,*,North-America,Europe,*,America
Europa,*,*,*,*,America,Asia,*,America
Asia,*,*,*,*,Asia,North America,*,America
Europe,*,*,*,*,Europa,Asia,*,Europa
Europe,*,*,*,*,Europe,Asia,*,America
Europa,*,*,*,*,Europe,Asia,*,Europe
*,*,*,*,*,*,*,*,*
Europe,*,*,*,*,Europe,Europa,*,America
North America,*,*,*,*,Asia,Asia,*,America
America,*,*,*,*,Europa,Caribbean,*,America
*,*,*,*,*,*,*,*,*
Europa,*,*,*,*,America,Asia,*,America
Europe,*,*,*,*,South America,North America,*,America
Asia,*,*,*,*,North-America,America,*,America
North America,*,*,*,*,North America,Europe,*,South America
North America,*,*,*,*,Europa dell'Est,Europe,*,US
America del Nord,*,*,*,*,Africa,Asia,*,America
*,*,*,*,*,*,*,*,*
Europa,*,*,*,*,Europa,North America,*,America
North America,*,*,*,*,Europe,Europa,*,America
Asia,*,*,*,*,Europe,America,*,America
*,*,*,*,*,*,*,*,*
America del Nord,*,*,*,*,Europa,Southern Europe,*,America
Europa,*,*,*,*,North-America,Europe,*,America
*,*,*,*,*,*,*,*,*
America del Nord,*,*,*,*,South America,North America,*,America
Europe,*,*,*,*,Asia,America,*,America
Europe,*,*,*,*,America Centrale,America,*,America
Asia,*,*,*,*,Sud-est asiatico,North America,*,America
Europa,*,*,*,*,Asia,Europe,*,America
Asia,*,*,*,*,America del Sud,Europe,*,North-America
Europe,*,*,*,*,America Centrale,Europa,*,America
*,*,*,*,*,*,*,*,*
Europe,*,*,*,*,Europa,Europa,*,Asia
Asia,*,*,*,*,North America,Asia,*,America
America,*,*,*,*,America del Sud,North America,*,America
Europe,*,*,*,*,Europe,Europa,*,America
America Centrale,*,*,*,*,Asia,Asia,*,America
North America,*,*,*,*,Sud-est asiatico,Europe,*,South America
*,*,*,*,*,*,*,*,*
North America,*,*,*,*,America,North America,*,America
*,*,*,*,*,*,*,*,*
America,*,*,*,*,Europe,America Centrale,*,Europe
Europa,*,*,*,*,America Centrale,North America,*,America
*,*,*,*,*,*,*,*,*
*,*,*,*,*,*,*,*,*
North America,*,*,*,*,North America,Europa,*,America
Europe,*,*,*,*,South America,Nord America,*,America
North America,*,*,*,*,Asia Orientale,America,*,America
*,*,*,*,*,*,*,*,*
Europe,*,*,*,*,Regno Unito,Asia,*,America
*,*,*,*,*,*,*,*,*
North America,*,*,*,*,America del Sud,Asia,*,America
America Centrale,*,*,*,*,Asia,South America,*,Europe
Europa,*,*,*,*,Europe,America Centrale,*,America
Europa,*,*,*,*,America Centrale,Southeast Asia,*,Europa
North America,*,*,*,*,Europe,Asia,*,Europa
Europe,*,*,*,*,Europe,Europe,*,America
Europa,*,*,*,*,South America,America del Sud,*,America
Sud-est asiatico,*,*,*,*,Asia,Europe,*,Europe
Europa,*,*,*,*,Europe,Southeast Asia,*,America
Asia,*,*,*,*,Europe,Nord America,*,America
America Centrale,*,*,*,*,Europa,Asia,*,America
America Centrale,*,*,*,*,Oceania,Southeast Asia,*,North-America
Asia,*,*,*,*,Asia,Nord America,*,America
Asia,*,*,*,*,America,North America,*,Europe
Europe,*,*,*,*,Oceania,North America,*,America
Europa,*,*,*,*,North America,Caribbean,*,America
Asia,*,*,*,*,Europe,Nord America,*,America
America,*,*,*,*,America,Southeast Asia,*,America
*,*,*,*,*,*,*,*,*
Europe,*,*,*,*,America Centrale,America,*,America
*,*,*,*,*,*,*,*,*
North America,*,*,*,*,North America,Europe,*,America
Asia,*,*,*,*,Asia,Sud America,*,America
Europe,*,*,*,*,Africa,America del Sud,*,America
America del Nord,*,*,*,*,North America,Europe,*,America
America,*,*,*,*,Asia,America del Sud,*,US
America Centrale,*,*,*,*,Asia,Nord America,*,East Asia
America del Nord,*,*,*,*,Sud-est asiatico,Europa,*,America
America,*,*,*,*,America,Europe,*,America
Europe,*,*,*,*,America del Sud,Europe,*,America
Sud-est asiatico,*,*,*,*,America,Asia,*,Europe
America,*,*,*,*,Europe,Nord America,*,America
America Centrale,*,*,*,*,America Centrale,Europe,*,America
Europa,*,*,*,*,Europe,Southeast Asia,*,America
North America,*,*,*,*,America del Sud,Asia,*,America
*,*,*,*,*,*,*,*,*
America Centrale,*,*,*,*,North America,Asia,*,America
*,*,*,*,*,*,*,*,*
*,*,*,*,*,*,*,*,*
America Centrale,*,*,*,*,Europa,Southeast Asia,*,America
Asia,*,*,*,*,Europe,Stati Uniti,*,America
America,*,*,*,*,America del Sud,Europe,*,Asia
Asia,*,*,*,*,Asia,Sud America,*,America
Europe,*,*,*,*,Asia,Europe,*,America
America Centrale,*,*,*,*,North America,Asia,*,America
America,*,*,*,*,Europa,Europe,*,America
Asia,*,*,*,*,Europa,Europe,*,America
Europa,*,*,*,*,America,Asia,*,America
*,*,*,*,*,*,*,*,*
*,*,*,*,*,*,*,*,*
America,*,*,*,*,Asia,America del Sud,*,US
*,*,*,*,*,*,*,*,*
Europe,*,*,*,*,North America,Southeast Asia,*,America
Europe,*,*,*,*,Europa dell'Est,North America,*,America
Europe,*,*,*,*,Middle East,America,*,America
*,*,*,*,*,*,*,*,*
Asia,*,*,*,*,Western Europe,America del Sud,*,America
Europe,*,*,*,*,North America,Stati Uniti,*,America
Sud-est asiatico,*,*,*,*,Europe,Stati Uniti,*,America
Europe,*,*,*,*,Middle East,Europe,*,America
Asia,*,*,*,*,North-America,Asia,*,America
Central-America,*,*,*,*,America,Southeast Asia,*,Europa
*,*,*,*,*,*,*,*,*
Europe,*,*,*,*,Europe,Europe,*,America
*,*,*,*,*,*,*,*,*
*,*,*,*,*,*,*,*,*
*,*,*,*,*,*,*,*,*
North America,*,*,*,*,Sud-est asiatico,Southeast Asia,*,America
Europe,*,*,*,*,America,Europa,*,America
Europe,*,*,*,*,Western Europe,Europa,*,America
Europe,*,*,*,*,America Centrale,Southeast Asia,*,Asia
Europa,*,*,*,*,Asia,Southeast Asia,*,America
*,*,*,*,*,*,*,*,*
*,*,*,*,*,*,*,*,*
America,*,*,*,*,North America,Nord America,*,America
Europa,*,*,*,*,Asia,Sud America,*,America
America,*,*,*,*,America,Europe,*,America
Europa,*,*,*,*,Western Europe,Asia,*,America
North America,*,*,*,*,North America,North America,*,Asia
Europe,*,*,*,*,North America,Europe,*,America
America,*,*,*,*,Sud-est asiatico,North America,*,America
*,*,*,*,*,*,*,*,*
America,*,*,*,*,Asia,Southeast Asia,*,America
*,*,*,*,*,*,*,*,*
America,*,*,*,*,Europe,Nord America,*,America
*,*,*,*,*,*,*,*,*
North America,*,*,*,*,North-America,America Centrale,*,Europa
Europe,*,*,*,*,North America,Southeast Asia,*,America
Europe,*,*,*,*,Asia,Europe,*,America
America,*,*,*,*,Asia,Southeast Asia,*,America
Asia,*,*,*,*,Europe,Nord America,*,America
Europe,*,*,*,*,North America,Europe,*,America
Europe,*,*,*,*,Oceania,South America,*,Southeast Asia
Asia,*,*,*,*,Asia,Southeast Asia,*,America
Europe,*,*,*,*,North America,Stati Uniti,*,America Centrale
America,*,*,*,*,Sud-est asiatico,Europe,*,Asia
Europe,*,*,*,*,North America,Asia,*,America
Europe,*,*,*,*,Europe,America del Sud,*,America
Europe,*,*,*,*,Africa,Stati Uniti,*,America
Europe,*,*,*,*,North America,Southeast Asia,*,America
*,*,*,*,*,*,*,*,*
Europa,*,*,*,*,Oceania,Europa,*,America
Europa,*,*,*,*,Europa,North America,*,America
North America,*,*,*,*,North America,Europa,*,America
Europe,*,*,*,*,Regno Unito,Sud America,*,America
*,*,*,*,*,*,*,*,*
North America,*,*,*,*,Asia,Asia,*,Asia
Asia,*,*,*,*,Asia,Nord America,*,America
Europa,*,*,*,*,Europe,Southeast Asia,*,America
America,*,*,*,*,Asia,America del Sud,*,US
*,*,*,*,*,*,*,*,*
Europa,*,*,*,*,Europe,Asia,*,Europe
Europa,*,*,*,*,Asia,Asia,*,America
*,*,*,*,*,*,*,*,*
Asia,*,*,*,*,Europe,Southeast Asia,*,America
Asia,*,*,*,*,Europe,America,*,America
*,*,*,*,*,*,*,*,*
Europa,*,*,*,*,Europa,Southern Europe,*,Asia
*,*,*,*,*,*,*,*,*
Europe,*,*,*,*,Asia,Southeast Asia,*,America
Europa,*,*,*,*,Europa,Southeast Asia,*,America
Europe,*,*,*,*,Asia,Europe,*,America
Asia,*,*,*,*,Europe,America Centrale,*,Europa
*,*,*,*,*,*,*,*,*
Europa,*,*,*,*,Oceania,Europa,*,America
*,*,*,*,*,*,*,*,*
America Centrale,*,*,*,*,Asia,America Centrale,*,America
Asia,*,*,*,*,Sud-est asiatico,Nord America,*,America
North America,*,*,*,*,South America,Southeast Asia,*,America
America,*,*,*,*,Europe,South America,*,America
America,*,*,*,*,Europa,America Centrale,*,America
America Centrale,*,*,*,*,America Centrale,Europe,*,America
*,*,*,*,*,*,*,*,*
Europe,*,*,*,*,North America,Asia,*,America
North America,*,*,*,*,Europa dell'Est,Europe,*,US
*,*,*,*,*,*,*,*,*
America,*,*,*,*,America Centrale,Europe,*,America
America Centrale,*,*,*,*,America Centrale,Europe,*,America
North America,*,*,*,*,Africa,Europe,*,America
Asia,*,*,*,*,Asia,North America,*,America
Europa,*,*,*,*,America Centrale,North America,*,America
Asia,*,*,*,*,America,Southeast Asia,*,North America
Europe,*,*,*,*,America,North America,*,US
America,*,*,*,*,Europe,Southeast Asia,*,North-America
Europe,*,*,*,*,Africa,Stati Uniti,*,America
America del Nord,*,*,*,*,Africa,Asia,*,America
